"Footnote","FootnoteText"
"1","The number of cases/patients is too few to report."
"10","Very few patients were eligible for the HCAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance."
"11","There were discrepancies in the data collection process."
"12","This measure does not apply to this hospital for this reporting period."
"13","Results cannot be calculated for this reporting period."
"14","The results for this state are combined with nearby states to protect confidentiality."
"2","Data submitted were based on a sample of cases/patients."
"3","Results are based on a shorter time period than required."
"4","Data suppressed by CMS for one or more quarters."
"5","Results are not available for this reporting period."
"6","Fewer than 100 patients completed the HCAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess hospital performance."
"7","No cases met the criteria for this measure."
"8","The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero."
"9","No data are available from the state/territory for this reporting period."
