"Provider ID","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Measure","Rate","Sample","Footnote"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","Immunization for influenza","92","277","Data submitted were based on a sample of cases/patients"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","Immunization for influenza","90","549","Data submitted were based on a sample of cases/patients"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","Immunization for influenza","97","262","Data submitted were based on a sample of cases/patients"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Immunization for influenza","75","173","Data submitted were based on a sample of cases/patients"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Immunization for influenza","86","147","Data submitted were based on a sample of cases/patients"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","Immunization for influenza","92","280","Data submitted were based on a sample of cases/patients"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","Immunization for influenza","99","195","Data submitted were based on a sample of cases/patients"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","Immunization for influenza","93","281","Data submitted were based on a sample of cases/patients"
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Immunization for influenza","35","17","The number of cases/patients is too few to report"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","Immunization for influenza","96","264","Data submitted were based on a sample of cases/patients"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","Immunization for influenza","96","190","Data submitted were based on a sample of cases/patients"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Immunization for influenza","91","162","Data submitted were based on a sample of cases/patients"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","Immunization for influenza","76","278","Data submitted were based on a sample of cases/patients"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","Immunization for influenza","97","274","Data submitted were based on a sample of cases/patients"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","Immunization for influenza","95","132","Data submitted were based on a sample of cases/patients"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","Immunization for influenza","82","388","Data submitted were based on a sample of cases/patients"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Immunization for influenza","42","132",""
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","Immunization for influenza","78","270","Data submitted were based on a sample of cases/patients"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Immunization for influenza","93","153","Data submitted were based on a sample of cases/patients"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","Immunization for influenza","99","214","Data submitted were based on a sample of cases/patients"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","Immunization for influenza","92","159","Data submitted were based on a sample of cases/patients"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","Immunization for influenza","96","176","Data submitted were based on a sample of cases/patients"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","Immunization for influenza","94","288","Data submitted were based on a sample of cases/patients"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","Immunization for influenza","98","350","Data submitted were based on a sample of cases/patients"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Immunization for influenza","91","163","Data submitted were based on a sample of cases/patients"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","Immunization for influenza","100","154","Data submitted were based on a sample of cases/patients"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","Immunization for influenza","100","257","Data submitted were based on a sample of cases/patients"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Immunization for influenza","97","119",""
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","Immunization for influenza","98","236","Data submitted were based on a sample of cases/patients"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Immunization for influenza","96","149","Data submitted were based on a sample of cases/patients"
