"Provider ID","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Measure","Spending per Hospital Patient with Medicare","Footnote"
"330270","HOSPITAL FOR SPECIAL SURGERY","535 EAST 70TH STREET","","","NEW YORK","NY","10021","NEW YORK","2126061000","Spending per Hospital Patient with Medicare","1.02",""
"420091","CAROLINAS HOSPITAL SYSTEM","805 PAMPLICO HWY BOX 100550","","","FLORENCE","SC","29505","FLORENCE","8436742500","Spending per Hospital Patient with Medicare","0.99",""
"340147","NASH GENERAL HOSPITAL","2460 CURTIS ELLIS DRIVE","","","ROCKY MOUNT","NC","27804","NASH","2524438000","Spending per Hospital Patient with Medicare","0.98",""
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","","","SPRINGFIELD","IL","62769","SANGAMON","2175446464","Spending per Hospital Patient with Medicare","0.93",""
"050485","LONG BEACH MEMORIAL MEDICAL CENTER","2801 ATLANTIC AVE","","","LONG BEACH","CA","90806","LOS ANGELES","5629332000","Spending per Hospital Patient with Medicare","1.05",""
"220046","BERKSHIRE MEDICAL CENTER INC","725 NORTH STREET","","","PITTSFIELD","MA","01201","BERKSHIRE","4134472000","Spending per Hospital Patient with Medicare","1.00",""
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","","","FORT SMITH","AR","72901","SEBASTIAN","5014414000","Spending per Hospital Patient with Medicare","1.04",""
"330241","UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER","750 EAST ADAMS STREET","","","SYRACUSE","NY","13210","ONONDAGA","3154734240","Spending per Hospital Patient with Medicare","0.98",""
"390115","ARIA HEALTH","10800 KNIGHTS ROAD","","","PHILADELPHIA","PA","19114","PHILADELPHIA","2156124129","Spending per Hospital Patient with Medicare","1.04",""
"050516","MERCY SAN JUAN MEDICAL CENTER","6501 COYLE AVE","","","CARMICHAEL","CA","95608","SACRAMENTO","9165375000","Spending per Hospital Patient with Medicare","0.95",""
"140280","TRINITY ROCK ISLAND","2701 17TH ST","","","ROCK ISLAND","IL","61201","ROCK ISLAND","3097795000","Spending per Hospital Patient with Medicare","0.98",""
"050025","UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER","200 WEST ARBOR DRIVE","","","SAN DIEGO","CA","92103","SAN DIEGO","6195436222","Spending per Hospital Patient with Medicare","0.97",""
"450010","UNITED REGIONAL HEALTH CARE SYSTEM","1600 11TH STREET","","","WICHITA FALLS","TX","76301","WICHITA","9407643055","Spending per Hospital Patient with Medicare","1.05",""
"070035","HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET","","","NEW BRITAIN","CT","06050","HARTFORD","8602245011","Spending per Hospital Patient with Medicare","0.98",""
"220031","BOSTON MEDICAL CENTER CORPORATION","1 BOSTON MEDICAL CENTER PLACE","","","BOSTON","MA","02118","SUFFOLK","6176388000","Spending per Hospital Patient with Medicare","1.02",""
"310050","SAINT CLARE'S HOSPITAL","25 POCONO ROAD","","","DENVILLE","NJ","07834","MORRIS","9736256000","Spending per Hospital Patient with Medicare","1.07",""
"500039","HARRISON MEDICAL CENTER","2520 CHERRY AVENUE","","","BREMERTON","WA","98310","KITSAP","3603773911","Spending per Hospital Patient with Medicare","0.96",""
"330203","CROUSE HOSPITAL","736 IRVING AVENUE","","","SYRACUSE","NY","13210","ONONDAGA","3154707449","Spending per Hospital Patient with Medicare","0.94",""
"330394","UNITED HEALTH SERVICES HOSPITALS, INC","33-57 HARRISON STREET","","","JOHNSON CITY","NY","13790","BROOME","6077636000","Spending per Hospital Patient with Medicare","0.93",""
"140290","ST ALEXIUS MEDICAL CENTER","1555 N BARRINGTON RD","","","HOFFMAN ESTATES","IL","60194","COOK","8478432000","Spending per Hospital Patient with Medicare","1.08",""
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","Spending per Hospital Patient with Medicare","1.04",""
