"State","Diagnosis Related Group","Number Of Cases","Footnote"
"AK","Acute myocardial infarction, discharged alive w/o CC/MCC","46",""
"AL","Acute myocardial infarction, discharged alive w/o CC/MCC","582",""
"AR","Acute myocardial infarction, discharged alive w/o CC/MCC","354",""
"AS","Acute myocardial infarction, discharged alive w/o CC/MCC","*","The number of cases/patients is too few to report"
"AZ","Acute myocardial infarction, discharged alive w/o CC/MCC","405",""
"CA","Acute myocardial infarction, discharged alive w/o CC/MCC","1886",""
"CO","Acute myocardial infarction, discharged alive w/o CC/MCC","203",""
"CT","Acute myocardial infarction, discharged alive w/o CC/MCC","357",""
"DC","Acute myocardial infarction, discharged alive w/o CC/MCC","123",""
"DE","Acute myocardial infarction, discharged alive w/o CC/MCC","98",""
"FL","Acute myocardial infarction, discharged alive w/o CC/MCC","2022",""
"GA","Acute myocardial infarction, discharged alive w/o CC/MCC","712",""
"GU","Acute myocardial infarction, discharged alive w/o CC/MCC","27",""
"HI","Acute myocardial infarction, discharged alive w/o CC/MCC","109",""
"IA","Acute myocardial infarction, discharged alive w/o CC/MCC","319",""
"ID","Acute myocardial infarction, discharged alive w/o CC/MCC","95",""
"IL","Acute myocardial infarction, discharged alive w/o CC/MCC","1062",""
"IN","Acute myocardial infarction, discharged alive w/o CC/MCC","711",""
"KS","Acute myocardial infarction, discharged alive w/o CC/MCC","232",""
"KY","Acute myocardial infarction, discharged alive w/o CC/MCC","661",""
"LA","Acute myocardial infarction, discharged alive w/o CC/MCC","432",""
"MA","Acute myocardial infarction, discharged alive w/o CC/MCC","822",""
"MD","Acute myocardial infarction, discharged alive w/o CC/MCC","768",""
"ME","Acute myocardial infarction, discharged alive w/o CC/MCC","354",""
"MI","Acute myocardial infarction, discharged alive w/o CC/MCC","1152",""
"MN","Acute myocardial infarction, discharged alive w/o CC/MCC","424",""
"MO","Acute myocardial infarction, discharged alive w/o CC/MCC","563",""
"MP","Acute myocardial infarction, discharged alive w/o CC/MCC","*","The number of cases/patients is too few to report"
"MS","Acute myocardial infarction, discharged alive w/o CC/MCC","406",""
"MT","Acute myocardial infarction, discharged alive w/o CC/MCC","82",""
"NC","Acute myocardial infarction, discharged alive w/o CC/MCC","1107",""
"ND","Acute myocardial infarction, discharged alive w/o CC/MCC","70",""
"NE","Acute myocardial infarction, discharged alive w/o CC/MCC","177",""
"NH","Acute myocardial infarction, discharged alive w/o CC/MCC","163",""
"NJ","Acute myocardial infarction, discharged alive w/o CC/MCC","1289",""
"NM","Acute myocardial infarction, discharged alive w/o CC/MCC","154",""
"NV","Acute myocardial infarction, discharged alive w/o CC/MCC","182",""
"NY","Acute myocardial infarction, discharged alive w/o CC/MCC","1888",""
