"State","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Attack are Better than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Attack are No different than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Attack are Worse than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Attack are Number of Cases Too Small","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Failure are Better than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Failure are No different than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Failure are Worse than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Failure are Number of Cases Too Small","Number of Hospitals whose 30-day Death (Mortality) Rates from Pneumonia are Better than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Pneumonia are No different than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Pneumonia are Worse than U S  National Rate","Number of Hospitals whose 30-day Death (Mortality) Rates from Pneumonia are Number of Cases Too Small","Number of Hospitals whose 30-day Readmission Rates from Heart Attack are Better than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Heart Attack are No different than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Heart Attack are Worse than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Heart Attack are Number of Cases Too Small","Number of Hospitals whose 30-day Readmission Rates from Heart Failure are Better than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Heart Failure are No different than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Heart Failure are Worse than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Heart Failure are Number of Cases Too Small","Number of Hospitals whose 30-day Readmission Rates from Pneumonia are Better than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Pneumonia are No different than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Pneumonia are Worse than U S  National Rate","Number of Hospitals whose 30-day Readmission Rates from Pneumonia are Number of Cases Too Small","Number of Hospitals whose Rate of readmission after hip or knee surgery are Better than the U.S. National Rate","Number of Hospitals whose Rate of readmission after hip or knee surgery are No Different than the U.S. National Rate","Number of Hospitals whose Rate of readmission after hip or knee surgery are Worse than the U.S. National Rate","Number of Hospitals whose Rate of readmission after hip or knee surgery are Number of Cases Too Small","Number of Hospitals whose All cause hospital-wide readmission are Better than the U.S. National Rate","Number of Hospitals whose All cause hospital-wide readmission are No Different than the U.S. National Rate","Number of Hospitals whose All cause hospital-wide readmission are Worse than the U.S. National Rate","Number of Hospitals whose All cause hospital-wide readmission are Number of Cases Too Small","Number of Hospitals whose Complications and Deaths following hip/knee surgery are Better than the U.S. National Rate","Number of Hospitals whose Complications and Deaths following hip/knee surgery are No Different than the U.S. National Rate","Number of Hospitals whose Complications and Deaths following hip/knee surgery are Worse than the U.S. National Rate","Number of Hospitals whose Complications and Deaths following hip/knee surgery are Number of Cases Too Small"
"AK","0","5","0","15","0","9","1","12","0","15","0","7","0","5","0","14","0","12","0","10","0","15","0","6","0","8","0","0","1","20","0","1","0","7","0","1"
"AL","0","50","0","50","1","89","2","8","0","84","13","4","0","39","0","58","2","92","1","6","0","96","1","5","0","52","0","9","1","92","1","3","0","46","4","11"
"AR","1","30","2","40","0","59","11","7","0","66","8","3","0","27","1","46","0","71","3","3","1","68","5","3","1","28","1","7","3","60","11","0","1","28","1","7"
"AS","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"AZ","1","49","0","19","2","57","1","17","3","66","2","10","0","47","0","21","3","60","1","14","0","72","0","9","1","48","0","7","9","64","3","5","1","48","0","6"
"CA","7","219","1","103","30","246","10","51","34","244","19","45","1","201","1","122","10","280","3","46","3","290","5","46","8","199","1","90","29","283","17","10","7","196","4","89"
"CO","0","33","0","35","0","55","0","19","2","60","0","13","1","32","0","33","3","54","0","17","1","62","0","12","1","49","0","6","9","63","0","3","1","46","3","6"
"CT","2","28","0","1","4","24","3","1","4","27","1","0","0","27","1","3","1","29","2","0","0","31","1","0","0","28","1","0","2","25","4","0","1","26","2","0"
"DC","0","6","0","2","2","6","0","0","0","8","0","0","0","6","0","2","0","7","1","0","0","8","0","0","0","4","1","2","0","4","3","0","0","5","0","2"
"DE","1","5","0","1","1","6","0","0","0","7","0","0","0","6","0","1","0","7","0","0","0","7","0","0","0","5","0","1","0","6","0","0","0","5","0","1"
"FL","3","157","1","22","8","166","5","8","9","167","7","5","3","144","3","32","8","157","16","6","5","170","8","5","5","138","4","15","13","143","23","2","11","134","1","16"
"GA","0","74","0","65","1","126","2","15","1","128","11","3","1","64","0","72","3","129","1","11","1","138","0","4","2","77","0","15","7","129","5","1","2","76","1","15"
"GU","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"HI","0","12","0","4","0","14","0","5","0","14","0","8","0","11","0","5","1","13","0","5","0","14","0","8","0","8","0","6","2","13","0","6","0","8","0","6"
"IA","0","35","0","81","0","95","2","21","2","105","6","5","0","27","0","82","3","97","0","18","0","113","0","5","1","47","0","17","7","106","1","2","0","46","2","17"
"ID","0","10","0","23","0","21","1","15","0","33","0","6","0","9","0","23","2","20","0","16","0","33","0","7","0","23","0","5","6","32","0","2","0","23","0","5"
"IL","8","112","0","61","16","156","5","7","16","157","7","4","0","103","5","71","1","168","10","5","0","169","11","5","1","110","4","24","4","137","37","1","2","108","3","25"
"IN","1","68","0","49","3","108","7","2","1","107","10","2","2","61","0","54","3","113","1","3","2","115","1","2","3","78","0","29","14","104","4","2","4","73","1","32"
"KS","1","29","0","91","0","83","1","49","0","116","3","13","0","27","0","82","2","85","0","46","1","118","0","13","1","42","0","12","7","125","0","6","3","37","2","13"
