"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia","Hospital 30-Day Readmission Rates from Heart Attack","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Attack","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack","Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack","Footnote - Hospital 30-Day Readmission Rates from Heart Attack","Hospital 30-Day Readmission Rates from Heart Failure","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Heart Failure","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure","Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure","Footnote - Hospital 30-Day Readmission Rates from Heart Failure","Hospital 30-Day Readmission Rates from Pneumonia","Comparison to U S  Rate - Hospital 30-Day Readmission Rates from Pneumonia","Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia","Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia","Footnote - Hospital 30-Day Readmission Rates from Pneumonia","Rate of readmission after hip or knee surgery","Footnote - Rate of readmission after hip or knee surgery ","Number of Patients - Rate of readmission after hip or knee surgery","RSRR - Rate of readmission after hip or knee surgery","Lower Readmission Estimate - Rate of readmission after hip or knee surgery","Upper Readmission Estimate - Rate of readmission after hip or knee surgery","All cause hospital-wide readmission","Footnote - All cause hospital-wide readmission","Number of Patients - All cause hospital-wide readmission","RSRR - All cause hospital-wide readmission","Lower Readmission Estimate - All cause hospital-wide readmission","Upper Readmission Estimate - All cause hospital-wide readmission","Complications and Deaths following hip/knee surgery","Footnote - Complications and Deaths following hip/knee surgery","Number of Patients - Complications and Deaths following hip/knee surgery","RSCR - Complications and Deaths following hip/knee surgery","Lower Readmission Estimate - Complications and Deaths following hip/knee surgery","Upper Readmission Estimate - Complications and Deaths following hip/knee surgery"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","15.0","No Different than U.S. National Rate","12.7","17.5","669","","11.8","No Different than U.S. National Rate","9.9","14.2","751","","12.7","No Different than U.S. National Rate","10.0","15.8","339","","17.9","No Different than U.S. National Rate","15.8","20.5","747","","21.5","No Different than U.S. National Rate","19.2","24.1","898","","17.3","No Different than U.S. National Rate","14.6","20.7","368","","No Different than U.S. National Rate","","393","5.3","4.0","7.1","No Different than U.S. National Rate","","4686","14.8","13.3","16.5","No Different than U.S. National Rate","","367","","2.7","5.9"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","17.3","No Different than U.S. National Rate","13.5","22.0","35","","14.7","No Different than U.S. National Rate","11.6","18.4","213","","15.9","Worse than U.S. National Rate","12.9","19.5","339","","Not Available","Number of Cases Too Small","Not Available","Not Available","18","The number of cases/patients is too few to report","21.7","No Different than U.S. National Rate","18.4","25.4","248","","16.5","No Different than U.S. National Rate","13.8","19.3","331","","No Different than U.S. National Rate","","98","5.9","4.1","8.4","No Different than U.S. National Rate","","1268","15.7","13.5","18.1","No Different than U.S. National Rate","","91","","1.9","5.3"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","18.6","No Different than U.S. National Rate","15.2","22.4","307","","12.6","No Different than U.S. National Rate","10.2","15.2","563","","15.0","Worse than U.S. National Rate","12.6","17.6","785","","17.1","No Different than U.S. National Rate","14.3","20.5","310","","18.9","Better than U.S. National Rate","16.5","21.7","652","","16.6","No Different than U.S. National Rate","14.4","19.1","793","","No Different than U.S. National Rate","","368","4.1","3.0","5.6","No Different than U.S. National Rate","","3406","14.8","13.1","16.7","No Different than U.S. National Rate","","342","","2.4","5.3"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Not Available","Number of Cases Too Small","Not Available","Not Available","16","The number of cases/patients is too few to report","14.4","No Different than U.S. National Rate","10.6","19.4","101","","16.1","Worse than U.S. National Rate","12.4","20.8","211","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","The number of cases/patients is too few to report","24.6","No Different than U.S. National Rate","20.2","29.6","115","","18.5","No Different than U.S. National Rate","15.1","22.3","220","","No Different than U.S. National Rate","","27","5.8","3.9","8.6","No Different than U.S. National Rate","","549","16.7","13.9","19.7","Number of Cases Too Small","The number of cases/patients is too few to report","24","","Not Available","Not Available"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Not Available","Number of Cases Too Small","Not Available","Not Available","5","The number of cases/patients is too few to report","13.5","No Different than U.S. National Rate","9.5","18.7","51","","15.6","No Different than U.S. National Rate","11.1","21.3","60","","Not Available","Number of Cases Too Small","Not Available","Not Available","4","The number of cases/patients is too few to report","22.8","No Different than U.S. National Rate","18.2","28.1","51","","17.2","No Different than U.S. National Rate","13.5","21.6","57","","Number of Cases Too Small","The number of cases/patients is too few to report","1","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","236","16.0","13.3","19.2","Number of Cases Too Small","The number of cases/patients is too few to report","1","","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","16.3","No Different than U.S. National Rate","13.0","20.1","238","","10.8","No Different than U.S. National Rate","8.4","13.8","317","","17.3","Worse than U.S. National Rate","14.5","20.5","482","","18.2","No Different than U.S. National Rate","15.1","21.8","239","","20.7","No Different than U.S. National Rate","17.7","24.2","388","","17.2","No Different than U.S. National Rate","14.7","20.1","484","","No Different than U.S. National Rate","","417","5.8","4.3","7.6","No Different than U.S. National Rate","","2838","15.3","13.4","17.4","No Different than U.S. National Rate","","386","","2.4","5.4"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","16.2","No Different than U.S. National Rate","12.4","21.0","100","","16.4","Worse than U.S. National Rate","12.2","21.7","134","","15.8","Worse than U.S. National Rate","12.3","20.1","243","","18.8","No Different than U.S. National Rate","15.2","23.0","85","","24.7","No Different than U.S. National Rate","20.6","29.7","148","","16.8","No Different than U.S. National Rate","13.8","20.5","240","","No Different than U.S. National Rate","","69","5.2","3.5","7.4","No Different than U.S. National Rate","","1004","16.9","14.5","19.7","No Different than U.S. National Rate","","67","","2.1","6.2"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","14.0","No Different than U.S. National Rate","11.0","17.8","213","","13.2","No Different than U.S. National Rate","10.3","16.6","257","","13.1","No Different than U.S. National Rate","10.3","16.3","318","","18.8","No Different than U.S. National Rate","15.8","22.3","234","","23.4","No Different than U.S. National Rate","20.0","27.2","309","","16.4","No Different than U.S. National Rate","13.8","19.4","331","","No Different than U.S. National Rate","","181","5.7","4.1","8.1","No Different than U.S. National Rate","","2335","16.4","14.6","18.3","No Different than U.S. National Rate","","170","","2.4","6.1"
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","Number of Cases Too Small","The number of cases/patients is too few to report","24","Not Available","Not Available","Not Available","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","17.2","No Different than U.S. National Rate","13.1","22.4","70","","11.0","No Different than U.S. National Rate","8.7","14.1","277","","15.3","Worse than U.S. National Rate","12.5","18.9","331","","19.0","No Different than U.S. National Rate","15.4","23.3","36","","21.2","No Different than U.S. National Rate","17.9","25.1","305","","16.6","No Different than U.S. National Rate","13.9","19.9","334","","No Different than U.S. National Rate","","300","4.6","3.3","6.2","No Different than U.S. National Rate","","2012","15.9","14.5","17.5","No Different than U.S. National Rate","","272","","2.2","5.1"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","16.8","No Different than U.S. National Rate","13.3","20.8","31","","11.7","No Different than U.S. National Rate","8.5","15.6","61","","11.3","No Different than U.S. National Rate","8.4","15.3","136","","Not Available","Number of Cases Too Small","Not Available","Not Available","17","The number of cases/patients is too few to report","21.5","No Different than U.S. National Rate","17.4","25.9","90","","17.6","No Different than U.S. National Rate","14.3","21.3","166","","No Different than U.S. National Rate","","32","5.9","4.1","8.6","No Different than U.S. National Rate","","360","15.7","13.9","17.7","No Different than U.S. National Rate","","33","","2.5","7.7"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Not Available","Number of Cases Too Small","Not Available","Not Available","8","The number of cases/patients is too few to report","11.6","No Different than U.S. National Rate","8.3","16.3","56","","13.6","No Different than U.S. National Rate","9.9","18.6","101","","Not Available","Number of Cases Too Small","Not Available","Not Available","3","The number of cases/patients is too few to report","23.2","No Different than U.S. National Rate","18.5","28.3","57","","18.0","No Different than U.S. National Rate","14.3","22.2","97","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","306","16.3","14.1","18.3","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","18.2","No Different than U.S. National Rate","14.8","21.9","307","","10.8","No Different than U.S. National Rate","8.6","13.5","404","","14.1","No Different than U.S. National Rate","10.8","18.1","184","","19.0","No Different than U.S. National Rate","16.2","22.1","385","","23.2","No Different than U.S. National Rate","20.4","26.3","537","","18.5","No Different than U.S. National Rate","15.4","22.1","193","","No Different than U.S. National Rate","","391","5.4","4.0","7.2","No Different than U.S. National Rate","","3315","16.2","14.9","17.5","No Different than U.S. National Rate","","357","","1.7","4.0"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","17.3","No Different than U.S. National Rate","14.2","21.0","225","","10.4","No Different than U.S. National Rate","8.2","12.8","457","","15.7","Worse than U.S. National Rate","12.9","18.7","320","","15.9","No Different than U.S. National Rate","13.2","18.9","246","","22.5","No Different than U.S. National Rate","19.8","25.5","537","","18.3","No Different than U.S. National Rate","15.4","21.5","311","","No Different than U.S. National Rate","","374","5.2","3.8","7.0","No Different than U.S. National Rate","","3514","14.6","13.5","16.0","No Different than U.S. National Rate","","355","","2.4","5.4"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","14.0","No Different than U.S. National Rate","11.1","17.5","72","","9.9","No Different than U.S. National Rate","7.3","13.2","165","","11.4","No Different than U.S. National Rate","8.4","15.7","117","","18.6","No Different than U.S. National Rate","15.1","22.5","53","","23.3","No Different than U.S. National Rate","19.5","27.4","211","","17.6","No Different than U.S. National Rate","14.2","21.6","114","","No Different than U.S. National Rate","","45","5.5","3.7","8.1","No Different than U.S. National Rate","","778","15.8","14.1","17.6","No Different than U.S. National Rate","","42","","1.8","5.9"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","17.1","No Different than U.S. National Rate","13.6","21.1","275","","11.8","No Different than U.S. National Rate","9.7","14.4","632","","12.8","No Different than U.S. National Rate","9.8","16.3","257","","20.9","No Different than U.S. National Rate","17.8","24.5","309","","22.1","No Different than U.S. National Rate","19.5","24.8","782","","15.5","No Different than U.S. National Rate","12.7","18.7","264","","No Different than U.S. National Rate","","560","4.7","3.5","6.1","No Different than U.S. National Rate","","3635","15.0","13.8","16.2","No Different than U.S. National Rate","","514","","2.5","5.1"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Not Available","Number of Cases Too Small","Not Available","Not Available","12","The number of cases/patients is too few to report","11.8","No Different than U.S. National Rate","8.2","17.0","49","","13.7","No Different than U.S. National Rate","10.0","18.7","103","","Not Available","Number of Cases Too Small","Not Available","Not Available","5","The number of cases/patients is too few to report","23.9","No Different than U.S. National Rate","19.4","29.2","60","","19.6","No Different than U.S. National Rate","15.9","23.8","114","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","224","16.3","14.3","18.8","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","15.7","No Different than U.S. National Rate","12.5","19.5","214","","11.5","No Different than U.S. National Rate","9.1","14.5","408","","12.5","No Different than U.S. National Rate","10.0","15.4","384","","20.0","No Different than U.S. National Rate","17.0","23.4","273","","22.8","No Different than U.S. National Rate","20.2","25.7","566","","21.5","Worse than U.S. National Rate","18.7","24.7","440","","No Different than U.S. National Rate","","162","6.4","4.7","8.7","Worse than U.S. National Rate","","6026","18.4","16.5","19.4","No Different than U.S. National Rate","","144","","3.0","7.1"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Not Available","Number of Cases Too Small","Not Available","Not Available","22","The number of cases/patients is too few to report","12.4","No Different than U.S. National Rate","9.1","16.4","96","","11.4","No Different than U.S. National Rate","8.2","15.4","91","","Not Available","Number of Cases Too Small","Not Available","Not Available","12","The number of cases/patients is too few to report","24.8","No Different than U.S. National Rate","20.3","29.6","111","","18.5","No Different than U.S. National Rate","14.7","22.9","98","","Not Available","No cases met the criteria for this measure","Not Available","Not Available","Not Available","Not Available","No Different than U.S. National Rate","","483","15.9","14.0","17.9","Not Available","No cases met the criteria for this measure","Not Available","","Not Available","Not Available"
