"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Outpatients with low back pain who had an MRI without trying recommended treatments first such as physical therapy","Number of Patients 1","Footnote 1","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram","Number of Patients 2","Footnote 2","Outpatient CT scans of the abdomen that were “combination” (double) scans","Number of Patients 3","Footnote 3","Outpatient CT scans of the chest that were “combination” (double) scans","Number of Patients 4","Footnote 4","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Number of Patients 5","Footnote 5","Outpatients with brain CT scans who got a sinus CT scan at the same time","Number of Patients 6","Footnote 6"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","32.8","411","","5.7","3475","","Not Available","Not Available","Results are not available for this reporting period","2.3","1235","","8.4","739","","2.9","1850",""
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","36.7","297","","2.4","1350","","11.0","782","","10.5","294","","8.8","274","","2.7","739",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","43.4","143","","8.2","1343","","11.3","1437","","10.6","833","","3.8","105","","4.9","999",""
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Not Available","Not Available","No cases met the criteria for this measure","15.2","539","","45.1","215","","2.7","110","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Not Available","Not Available","The number of cases/patients is too few to report","9.2","87","","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","The number of cases/patients is too few to report","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","The number of cases/patients is too few to report"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","38.1","97","","Not Available","Not Available","No cases met the criteria for this measure","10.0","559","","20.1","134","","11.0","82","","4.5","806",""
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","Not Available","Not Available","The number of cases/patients is too few to report","4.3","723","","14.6","480","","28.1","192","","4.4","114","","4.3","398",""
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","39.9","158","","11.5","1222","","29.4","851","","2.9","310","","5.7","140","","3.8","662",""
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure","Not Available","Not Available","No cases met the criteria for this measure"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","44.1","152","","5.2","1231","","9.4","914","","0.5","427","","Not Available","Not Available","The number of cases/patients is too few to report","4.4","822",""
