"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","100","521","","96","163","","91","444",""
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","96","149","","96","52","","92","113",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","100","255","Data submitted were based on a sample of cases/patients","98","65","Data submitted were based on a sample of cases/patients","90","211","Data submitted were based on a sample of cases/patients"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","100","44","","Not Available","Not Available","The number of cases/patients is too few to report","45","38",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","69","13","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report","Not Available","Not Available","Data submitted were based on a sample of cases/patients., Results are based on a shorter time period than required., The number of cases/patients is too few to report"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","100","353","","99","104","","100","295",""
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","100","89","Data submitted were based on a sample of cases/patients","100","36","Data submitted were based on a sample of cases/patients","95","60","Data submitted were based on a sample of cases/patients"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","100","322","","100","84","","98","280",""
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period","Not Available","Not Available","Results are not available for this reporting period"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","100","174","","100","45","","86","130",""
