Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score, AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","MOBILE","N/A","N/A","N/A","N/A","0.8333","0 out of 10","1 out of 9","1 out of 10","1"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","JEFFERSON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","DALLAS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","AL","36461","MONROE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","AL","35565","WINSTON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","PIKE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","BALDWIN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","MADISON","N/A","N/A","N/A","N/A","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","AL","35233","JEFFERSON","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","JEFFERSON","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","AL","36608","MOBILE","N/A","N/A","N/A","N/A","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","AL","36265","CALHOUN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL","36117","MONTGOMERY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","BUTLER","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","AL","36693","MOBILE","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","COLBERT","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL","35653","FRANKLIN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","TALLADEGA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
