Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","MADISON","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","23","19"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","35903","ETOWAH","3 out of 10","2 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","21","19"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","35555","FAYETTE","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","9 out of 10","4 out of 9","9 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","7 out of 9","7 out of 10","9 out of 10","7 out of 9","9 out of 10","75","20"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","35901","ETOWAH","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","14"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL","36330","COFFEE","6 out of 10","3 out of 9","6 out of 10","8 out of 10","3 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","38","20"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","ONEONTA","AL","35121","BLOUNT","7 out of 10","0 out of 9","7 out of 10","9 out of 10","0 out of 9","9 out of 10","7 out of 10","0 out of 9","7 out of 10","8 out of 10","0 out of 9","8 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","48","17"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","DECATUR","AL","35601","MORGAN","2 out of 10","1 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","27","18"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL","36305","HOUSTON","6 out of 10","2 out of 9","6 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","9 out of 10","8 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","8 out of 10","0 out of 9","8 out of 10","52","20"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL","35205","JEFFERSON","4 out of 10","1 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","27","20"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL","35768","JACKSON","1 out of 10","1 out of 9","1 out of 10","10 out of 10","9 out of 9","10 out of 10","7 out of 10","7 out of 9","7 out of 10","2 out of 10","3 out of 9","3 out of 10","4 out of 10","6 out of 9","6 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","34","18"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","36340","GENEVA","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","4","12"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","ALEXANDER CITY","AL","35010","TALLAPOOSA","9 out of 10","9 out of 9","9 out of 10","6 out of 10","3 out of 9","6 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","1 out of 9","7 out of 10","9 out of 10","9 out of 9","9 out of 10","7 out of 10","4 out of 9","7 out of 10","6 out of 10","3 out of 9","6 out of 10","8 out of 10","6 out of 9","8 out of 10","58","20"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","36027","BARBOUR","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","2 out of 10","1 out of 9","2 out of 10","1 out of 10","3 out of 9","3 out of 10","7 out of 10","6 out of 9","7 out of 10","0 out of 10","4 out of 9","4 out of 10","0 out of 10","1 out of 9","1 out of 10","24","17"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","ANNISTON","AL","36207","CALHOUN","1 out of 10","2 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","7","17"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","35611","LIMESTONE","3 out of 10","0 out of 9","3 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","1 out of 9","2 out of 10","4 out of 10","3 out of 9","4 out of 10","6 out of 10","6 out of 9","6 out of 10","3 out of 10","0 out of 9","3 out of 10","8 out of 10","8 out of 9","8 out of 10","0 out of 10","0 out of 9","0 out of 10","32","18"
