Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,HF-1 Performance Rate,HF-1 Achievement Points,HF-1 Improvement Points,HF-1 Measure Score,HF Condition/Procedure Score
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","JEFFERSON","0.8917","0 out of 10","0 out of 9","0 out of 10","0"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","DALLAS","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","AL","36461","MONROE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","AL","35565","WINSTON","0.9375","3 out of 10","6 out of 9","6 out of 10","6"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","PIKE","0.8605","0 out of 10","3 out of 9","3 out of 10","3"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","BALDWIN","0.9091","1 out of 10","2 out of 9","2 out of 10","2"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","MADISON","0.9421","4 out of 10","4 out of 9","4 out of 10","4"
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","AL","35233","JEFFERSON","0.7333","0 out of 10","5 out of 9","5 out of 10","5"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","JEFFERSON","0.9896","8 out of 10","0 out of 9","8 out of 10","8"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","AL","36608","MOBILE","0.9659","6 out of 10","7 out of 9","7 out of 10","7"
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","AL","36265","CALHOUN","0.7500","0 out of 10","0 out of 9","0 out of 10","0"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL","36117","MONTGOMERY","0.9552","5 out of 10","6 out of 9","6 out of 10","6"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","BUTLER","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","AL","36693","MOBILE","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","COLBERT","0.5769","0 out of 10","0 out of 9","0 out of 10","0"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL","35653","FRANKLIN","0.9667","6 out of 10","0 out of 9","6 out of 10","6"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","TALLADEGA","0.9565","5 out of 10","8 out of 9","8 out of 10","8"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","AL","36867","RUSSELL","N/A","N/A","N/A","N/A","N/A"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","AK","99519","ANCHORAGE","0.9956","9 out of 10","9 out of 9","9 out of 10","9"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","MATANUSKA-SUSITNA","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","JUNEAU","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK","99701","FAIRBANKS","0.9815","8 out of 10","8 out of 9","8 out of 10","8"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","AK","99508","ANCHORAGE","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","AK","99669","KENAI-COOK INLET","0.9394","4 out of 10","0 out of 9","4 out of 10","4"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","AK","99508","ANCHORAGE","0.8841","0 out of 10","6 out of 9","6 out of 10","6"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","AZ","85031","MARICOPA","1.0000","10 out of 10","9 out of 9","10 out of 10","10"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","0.9890","8 out of 10","8 out of 9","8 out of 10","8"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","0.9825","8 out of 10","7 out of 9","8 out of 10","8"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","AZ","86326","YAVAPAI","0.9000","0 out of 10","2 out of 9","2 out of 10","2"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","AZ","85745","PIMA","0.9741","7 out of 10","7 out of 9","7 out of 10","7"
"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","AZ","85711","PIMA","0.9689","6 out of 10","9 out of 9","9 out of 10","9"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","AZ","86301","YAVAPAI","0.7436","0 out of 10","0 out of 9","0 out of 10","0"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","AZ","85364","YUMA","0.9958","9 out of 10","9 out of 9","9 out of 10","9"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","AZ","85020","MARICOPA","0.9882","8 out of 10","8 out of 9","8 out of 10","8"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","AZ","85222","PINAL","0.9310","3 out of 10","0 out of 9","3 out of 10","3"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ","85008","MARICOPA","0.9519","5 out of 10","7 out of 9","7 out of 10","7"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","AZ","86001","COCONINO","0.9100","1 out of 10","7 out of 9","7 out of 10","7"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","AZ","85013","MARICOPA","0.9468","4 out of 10","6 out of 9","6 out of 10","6"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","AZ","85015","MARICOPA","0.9798","8 out of 10","8 out of 9","8 out of 10","8"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","AZ","85541","GILA","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","AZ","85224","MARICOPA","0.9545","5 out of 10","0 out of 9","5 out of 10","5"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","AZ","85006","MARICOPA","0.8929","0 out of 10","0 out of 9","0 out of 10","0"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","AZ","85251","MARICOPA","0.8072","0 out of 10","2 out of 9","2 out of 10","2"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","AZ","85635","COCHISE","0.8889","0 out of 10","5 out of 9","5 out of 10","5"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","AZ","86409","MOHAVE","0.7205","0 out of 10","2 out of 9","2 out of 10","2"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","AZ","85351","MARICOPA","0.9879","8 out of 10","9 out of 9","9 out of 10","9"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","AZ","85901","NAVAJO","0.9388","4 out of 10","9 out of 9","9 out of 10","9"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","AZ","85724","PIMA","0.9337","3 out of 10","6 out of 9","6 out of 10","6"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","AZ","85202","MARICOPA","0.9837","8 out of 10","8 out of 9","8 out of 10","8"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","AZ","85344","LAPAZ","0.6842","0 out of 10","0 out of 9","0 out of 10","0"
"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","AZ","85546","GRAHAM","1.0000","10 out of 10","0 out of 9","10 out of 10","10"
"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","AZ","86403","MOHAVE","0.8279","0 out of 10","0 out of 9","0 out of 10","0"
"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","AZ","86504","APACHE","0.0345","0 out of 10","0 out of 9","0 out of 10","0"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","COCONINO","0.3333","0 out of 10","3 out of 9","3 out of 10","3"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","MARICOPA","N/A","N/A","N/A","N/A","N/A"
"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","PHOENIX","AZ","85032","MARICOPA","0.8642","0 out of 10","5 out of 9","5 out of 10","5"
"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","AZ","85741","PIMA","0.7865","0 out of 10","0 out of 9","0 out of 10","0"
"030087","SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ","85260","MARICOPA","0.7429","0 out of 10","1 out of 9","1 out of 10","1"
"030088","BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE","MESA","AZ","85206","MARICOPA","0.9274","2 out of 10","0 out of 9","2 out of 10","2"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 WEST THUNDERBIRD ROAD","GLENDALE","AZ","85306","MARICOPA","0.9360","3 out of 10","2 out of 9","3 out of 10","3"
"030092","JOHN C LINCOLN DEER VALLEY HOSPITAL","19829 NORTH 27TH AVENUE","PHOENIX","AZ","85027","MARICOPA","0.9563","5 out of 10","3 out of 9","5 out of 10","5"
"030093","BANNER DEL E WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","MARICOPA","0.8896","0 out of 10","4 out of 9","4 out of 10","4"
"030094","ARROWHEAD HOSPITAL","18701 NORTH 67TH AVENUE","GLENDALE","AZ","85308","MARICOPA","0.9651","6 out of 10","8 out of 9","8 out of 10","8"
"030100","CARONDELET HEART AND VASCULAR INSTITUTE","4888 NORTH STONE AVENUE","TUCSON","AZ","85704","PIMA","0.9899","9 out of 10","9 out of 9","9 out of 10","9"
