Provider Number,Hospital Name,Address,City,State, ZIP Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Total Performance Score
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL","35401","TUSCALOOSA","62.727272727273","43.909090909091","45.000000000000","13.500000000000","57.409090909091"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL","36426","ESCAMBIA","53.333333333333","37.333333333333","68.000000000000","20.400000000000","57.733333333333"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL","36532","BALDWIN","60.909090909091","42.636363636364","56.000000000000","16.800000000000","59.436363636364"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL","35161","TALLADEGA","56.250000000000","39.375000000000","38.000000000000","11.400000000000","50.775000000000"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL","35211","JEFFERSON","81.818181818182","57.272727272727","58.000000000000","17.400000000000","74.672727272727"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","BIRMINGHAM","AL","35213","JEFFERSON","94.545454545455","66.181818181818","62.000000000000","18.600000000000","84.781818181818"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL","36067","AUTAUGA","90.000000000000","63.000000000000","77.000000000000","23.100000000000","86.100000000000"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","CARROLLTON","AL","35447","PICKENS","78.000000000000","54.600000000000","81.000000000000","24.300000000000","78.900000000000"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","DEMOPOLIS","AL","36732","MARENGO","31.250000000000","21.875000000000","26.000000000000","7.800000000000","29.675000000000"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","MOBILE","54.545454545455","38.181818181818","51.000000000000","15.300000000000","53.481818181818"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","JEFFERSON","52.222222222222","36.555555555556","26.000000000000","7.800000000000","44.355555555556"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","DALLAS","97.777777777778","68.444444444444","23.000000000000","6.900000000000","75.344444444444"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","AL","36461","MONROE","67.500000000000","47.250000000000","69.000000000000","20.700000000000","67.950000000000"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","AL","35565","WINSTON","46.000000000000","32.200000000000","41.000000000000","12.300000000000","44.500000000000"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","PIKE","30.000000000000","21.000000000000","33.000000000000","9.900000000000","30.900000000000"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","BALDWIN","10.000000000000","7.000000000000","70.000000000000","21.000000000000","28.000000000000"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","MADISON","82.000000000000","57.400000000000","48.000000000000","14.400000000000","71.800000000000"
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","AL","35233","JEFFERSON","40.000000000000","28.000000000000","25.000000000000","7.500000000000","35.500000000000"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","JEFFERSON","77.272727272727","54.090909090909","50.000000000000","15.000000000000","69.090909090909"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","AL","36608","MOBILE","75.454545454545","52.818181818182","54.000000000000","16.200000000000","69.018181818182"
