State,S_HBIPS-2_Measure_Description,S_HBIPS-2_Overall_Rate_Per_1000,S_HBIPS-2_Overall_Num,S_HBIPS-2_Overall_Den,S_HBIPS-2_1-12_Rate_Per_1000,S_HBIPS-2_1-12_Num,S_HBIPS-2_1-12_Den,S_HBIPS-2_13-17_Rate_Per_1000,S_HBIPS-2_13-17_Num,S_HBIPS-2_13-17_Den,S_HBIPS-2_18-64_Rate_Per_1000,S_HBIPS-2_18-64_Num,S_HBIPS-2_18-64_Den,S_HBIPS-2_65_Over_Rate_Per_1000,S_HBIPS-2_65_Over_Num,S_HBIPS-2_65_Over_Den,S_HBIPS-3_Measure_Description,S_HBIPS-3_Overall_Rate_Per_1000,S_HBIPS-3_Overall_Num,S_HBIPS-3_Overall_Den,S_HBIPS-3_1-12_Rate_Per_1000,S_HBIPS-3_1-12_Num,S_HBIPS-3_1-12_Den,S_HBIPS-3_13-17_Rate_Per_1000,S_HBIPS-3_13-17_Num,S_HBIPS-3_13-17_Den,S_HBIPS-3_18-64_Rate_Per_1000,S_HBIPS-3_18-64_Num,S_HBIPS-3_18-64_Den,S_HBIPS-3_65_Over_Rate_Per_1000,S_HBIPS-3_65_Over_Num,S_HBIPS-3_65_Over_Den,S_HBIPS-4_Measure_Description,S_HBIPS-4_Overall_%_of_Total,S_HBIPS-4_Overall_Num,S_HBIPS-4_Overall_Den,S_HBIPS-4_1-12_%_of_Total,S_HBIPS-4_1-12_Num,S_HBIPS-4_1-12_Den,S_HBIPS-4_13-17_%_of_Total,S_HBIPS-4_13-17_Num,S_HBIPS-4_13-17_Den,S_HBIPS-4_18-64_%_of_Total,S_HBIPS-4_18-64_Num,S_HBIPS-4_18-64_Den,S_HBIPS-4_65_Over_%_of_Total,S_HBIPS-4_65_Over_Num,S_HBIPS-4_65_Over_Den,S_HBIPS-5_Measure_Description,S_HBIPS-5_%_of_Total,S_HBIPS-5_Overall_Num,S_HBIPS-5_Overall_Den,S_HBIPS-5_1-12_%_of_Total,S_HBIPS-5_1-12_Num,S_HBIPS-5_1-12_Den,S_HBIPS-5_13-17_%_of_Total,S_HBIPS-5_13-17_Num,S_HBIPS-5_13-17_Den,S_HBIPS-5_18-64_%_of_Total,S_HBIPS-5_18-64_Num,S_HBIPS-5_18-64_Den,S_HBIPS-5_65_%_of_Total,S_HBIPS-5_65_Over_Num,S_HBIPS-5_65_Over_Den,S_HBIPS-6_Measure_Description,S_HBIPS-6_%_of_Total,S_HBIPS-6_Overall_Num,S_HBIPS-6_Overall_Den,S_HBIPS-6_1-12_%_of_Total,S_HBIPS-6_1-12_Num,S_HBIPS-6_1-12_Den,S_HBIPS-6_13-17_%_of_Total,S_HBIPS-6_13-17_Num,S_HBIPS-6_13-17_Den,S_HBIPS-6_18-64_%_of_Total,S_HBIPS-6_18-64_Num,S_HBIPS-6_18-64_Den,S_HBIPS-6_65_%_of_Total,S_HBIPS-6_65_Over_Num,S_HBIPS-6_65_Over_Den,S_HBIPS-7_Measure_Description,S_HBIPS-7_Overall_%_of_Total,S_HBIPS-7_Overall_Num,S_HBIPS-7_Overall_Den,S_HBIPS-7_1-12_%_of_Total,S_HBIPS-7_1-12_Num,S_HBIPS-7_1-12_Den,S_HBIPS-7_13-17_%_of_Total,S_HBIPS-7_13-17_Num,S_HBIPS-7_13-17_Den,S_HBIPS-7_18-64_%_of_Total,S_HBIPS-7_18-64_Num,S_HBIPS-7_18-64_Den,S_HBIPS-7_65_%_of_Total,S_HBIPS-7_65_Over_Num,S_HBIPS-7_65_Over_Den,Start_Date,End_Date
"HI","Hours of Physical Restraint Use","0.10","42.83","17458","0.38","12.34","1339","0.16","9.77","2616","0.06","16.97","11526","0.08","3.75","1977","Hours of Seclusion Use","0.07","28.18","17754","0.12","3.8","1339","0.00","0","2616","0.09","24.38","11822","0.00","0","1977","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","86.15","684","794","100.00","25","25","100.00","69","69","84.02","531","632","86.76","59","68","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","82.37","654","794","100.00","25","25","100.00","69","69","80.54","509","632","75.00","51","68","10/01/2012","03/31/2013"
"KS","Hours of Physical Restraint Use","0.34","664.54","81944","0.00","0","1","0.00","0","21","0.25","385.92","64315","0.66","278.61","17607","Hours of Seclusion Use","0.20","401.13","81944","0.00","0","1","0.00","0","21","0.20","314.16","64315","0.21","86.97","17607","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","67.69","3051","4507","100.00","1","1","100.00","21","21","81.40","2647","3252","30.98","382","1233","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","67.32","3034","4507","100.00","1","1","90.48","19","21","79.71","2597","3258","33.99","417","1227","10/01/2012","03/31/2013"
"RI","Hours of Physical Restraint Use","0.09","1152.72","555181","0.04","103.86","100440","0.05","234.21","178233","0.05","233.14","188424","0.28","581.52","88084","Hours of Seclusion Use","0.07","988.63","555181","0.03","82.39","100440","0.01","44.69","178233","0.19","854.9","188424","0.00","6.65","88084","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","83.73","2022","2415","97.10","234","241","94.96","640","674","76.54","835","1091","76.53","313","409","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","72.42","1749","2415","96.68","233","241","92.28","622","674","57.10","623","1091","66.26","271","409","10/01/2012","03/31/2013"
"IA","Hours of Physical Restraint Use","1.06","1578.49","62304","0.65","38.58","2486","1.11","182.72","6848","0.83","832.81","41574","1.92","524.38","11396","Hours of Seclusion Use","1.94","2721.41","58346","0.92","54.62","2486","0.72","117.75","6848","2.74","2481.94","37692","0.25","67.1","11320","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","67.04","2040","3043","52.86","120","227","66.67","266","399","70.82","1301","1837","60.86","353","580","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","48.66","1484","3050","44.05","100","227","59.50","238","400","46.15","844","1829","50.84","302","594","10/01/2012","03/31/2013"
"FL","Hours of Physical Restraint Use","0.33","7345.69","921883","6.33","721.33","4748","0.22","107.87","20172","0.16","3135.17","798251","1.43","3381.31","98712","Hours of Seclusion Use","0.05","1138.53","921801","0.35","40.35","4748","0.05","24.98","20172","0.05","1051.3","798251","0.01","21.9","98630","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","70.20","19685","28041","72.05","634","880","66.94","1146","1712","70.50","14374","20388","69.77","3531","5061","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","57.05","15995","28035","48.41","426","880","41.94","718","1712","59.02","12028","20381","55.77","2823","5062","10/01/2012","03/31/2013"
"WA","Hours of Physical Restraint Use","3.14","18129.27","240765","0.30",".2","28","0.04","3.7","3523","3.13","15014.28","199930","3.48","3111.09","37284","Hours of Seclusion Use","2.03","11634.25","239032","0.00","0","28","0.11","9.5","3523","2.03","9642","198384","2.23","1982.75","37097","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","61.17","2023","3307","100.00","1","1","97.71","128","131","62.56","1479","2364","51.17","415","811","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","43.09","1425","3307","100.00","1","1","72.52","95","131","44.42","1050","2364","34.40","279","811","10/01/2012","03/31/2013"
"NM","Hours of Physical Restraint Use","0.03","72.26","86744","0.23","18.57","3376","0.02","4","6925","0.05","48.56","40039","0.00","1.14","36404","Hours of Seclusion Use","0.08","175.64","86744","0.75","60.99","3376","0.08","13.53","6925","0.10","93.74","40039","0.01","7.37","36404","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","88.69","1811","2042","95.18","217","228","94.10","367","390","84.75","845","997","89.46","382","427","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","71.99","1470","2042","69.74","159","228","70.51","275","390","68.71","685","997","82.20","351","427","10/01/2012","03/31/2013"
"WI","Hours of Physical Restraint Use","0.92","2809.25","127867","0.94","56.9","2532","0.45","103.45","9619","1.01","2459.4","101450","0.55","189.5","14266","Hours of Seclusion Use","0.29","605.17","86685","0.45","27.35","2531","0.34","77.68","9618","0.31","482.74","65438","0.08","17.4","9098","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","58.48","3579","6120","65.39","274","419","69.25","804","1161","54.92","2165","3942","56.19","336","598","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","55.31","3385","6120","62.05","260","419","66.75","775","1161","51.52","2031","3942","53.34","319","598","10/01/2012","03/31/2013"
"WY","Hours of Physical Restraint Use","0.10","66.17","27218","0.02",".57","1213","0.10","8.93","3686","0.12","56.23","19916","0.01",".43","2403","Hours of Seclusion Use","0.78","489.7","26282","0.06","1.83","1213","0.05","4.1","3549","1.05","483.77","19169","0.00","0","2351","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","95.59","1236","1293","100.00","91","91","97.50","156","160","95.09","948","997","91.11","41","45","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","85.69","1102","1286","71.43","65","91","81.01","128","158","87.14","867","995","100.00","42","42","10/01/2012","03/31/2013"
"AR","Hours of Physical Restraint Use","2.30","8267.02","149989","0.33","112.99","14223","0.09","58.19","25686","0.56","856.82","63445","6.47","7239.03","46635","Hours of Seclusion Use","0.21","767.5","149989","1.10","376.53","14223","0.31","192.57","25686","0.11","168.45","63445","0.03","29.95","46635","Patients Discharged on Multiple Antipsychotic Medications","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged on Multiple Antipsychotic Medications with Appropriate Justification","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Patients Discharged from a Hospital-based Inpatient Psychiatric Setting with a Continuing Care Plan Created","85.87","4675","5444","97.50","781","801","97.51","980","1005","92.22","1588","1722","69.21","1326","1916","Post Discharge Continuing Care Plan Transmitted to Next Level of Care Provider Upon Discharge","79.93","4372","5470","91.14","730","801","92.44","929","1005","86.44","1517","1755","62.65","1196","1909","10/01/2012","03/31/2013"
