"Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"Acute myocardial infarction, discharged alive w/o CC/MCC","29370","","10/01/2012","09/30/2013"
"Acute myocardial infarction, discharged alive w MCC","67178","","10/01/2012","09/30/2013"
"Acute myocardial infarction, discharged alive w CC","47460","","10/01/2012","09/30/2013"
"Heart failure and shock w/o CC/MCC","80313","","10/01/2012","09/30/2013"
"Heart failure and shock w MCC","185208","","10/01/2012","09/30/2013"
"Heart failure and shock w CC","205584","","10/01/2012","09/30/2013"
"Chronic obstructive pulmonary disease w/o CC/MCC","100017","","10/01/2012","09/30/2013"
"Chronic obstructive pulmonary disease w MCC","142691","","10/01/2012","09/30/2013"
"Chronic obstructive pulmonary disease w CC","138190","","10/01/2012","09/30/2013"
"Simple pneumonia and pleurisy w MCC","131265","","10/01/2012","09/30/2013"
"Diabetes w MCC","21668","","10/01/2012","09/30/2013"
"Chest Pain","106953","","10/01/2012","09/30/2013"
"Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","4822","","10/01/2012","09/30/2013"
"Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","17271","","10/01/2012","09/30/2013"
"Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","20755","","10/01/2012","09/30/2013"
"Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","19776","","10/01/2012","09/30/2013"
"Cardiac defibrillator implant w/o cardiac cath w/o MCC","17435","","10/01/2012","09/30/2013"
"Cardiac defibrillator implant w/o cardiac cath w MCC","5072","","10/01/2012","09/30/2013"
"Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","2998","","10/01/2012","09/30/2013"
"Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","2400","","10/01/2012","09/30/2013"
"Extracranial procedures w/o CC/MCC","35382","","10/01/2012","09/30/2013"
"Extracranial procedures w CC","12547","","10/01/2012","09/30/2013"
"Coronary bypass w/o cardiac cath w/o MCC","19901","","10/01/2012","09/30/2013"
"Coronary bypass w/o cardiac cath w MCC","8111","","10/01/2012","09/30/2013"
"Permanent cardiac pacemaker implant w/o CC/MCC","28212","","10/01/2012","09/30/2013"
"Permanent cardiac pacemaker implant w CC","32016","","10/01/2012","09/30/2013"
"Perc cardiovasc proc w drug-eluting stent w/o MCC","102245","","10/01/2012","09/30/2013"
"Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","23168","","10/01/2012","09/30/2013"
"Laparoscopic cholecystectomy w/o c.d.e. w MCC","17450","","10/01/2012","09/30/2013"
"Laparoscopic cholecystectomy w/o c.d.e. w CC","26431","","10/01/2012","09/30/2013"
"Cholecystectomy except by laparoscope w/o c.d.e. w MCC","3681","","10/01/2012","09/30/2013"
"Hernia procedures except inguinal and femoral w/o CC/MCC","10056","","10/01/2012","09/30/2013"
"Hernia procedures except inguinal and femoral w MCC","3612","","10/01/2012","09/30/2013"
"Hernia procedures except inguinal and femoral w CC","9595","","10/01/2012","09/30/2013"
"Major small and large bowel procedures w/o CC/MCC","24968","","10/01/2012","09/30/2013"
"Major small and large bowel procedures w CC","56029","","10/01/2012","09/30/2013"
"Major small and large bowel procedures w MCC","42342","","10/01/2012","09/30/2013"
"Stomach, esophageal duodenal proc w/o CC/MCC","9975","","10/01/2012","09/30/2013"
"Cervical spinal fusion w/o CC/MCC","29130","","10/01/2012","09/30/2013"
"Cervical spinal fusion w MCC","3357","","10/01/2012","09/30/2013"
"Cervical spinal fusion w CC","10962","","10/01/2012","09/30/2013"
"Spinal fusion except cervical w/o MCC","71329","","10/01/2012","09/30/2013"
"Spinal fusion except cervical w MCC","4465","","10/01/2012","09/30/2013"
"Back and neck proc exc spinal fusion w/o CC/MCC","31919","","10/01/2012","09/30/2013"
"Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","18546","","10/01/2012","09/30/2013"
"Major shoulder or elbow joint procedures w/o CC/MCC","554","","10/01/2012","09/30/2013"
"Major shoulder or elbow joint procedures w CC/MCC","616","","10/01/2012","09/30/2013"
"Bilateral or multiple major joint procs of lower extremity w/o MCC","9762","","10/01/2012","09/30/2013"
"Bilateral or multiple major joint procs of lower extremity w MCC","447","","10/01/2012","09/30/2013"
"Major joint replacement or reattachment of lower extremity w/o MCC","431358","","10/01/2012","09/30/2013"
"Major joint replacement or reattachment of lower extremity w MCC","26670","","10/01/2012","09/30/2013"
"Revision of hip or knee replacement w/o CC/MCC","16671","","10/01/2012","09/30/2013"
"Revision of hip or knee replacement w MCC","4098","","10/01/2012","09/30/2013"
"Revision of hip or knee replacement w CC","23365","","10/01/2012","09/30/2013"
"Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","2969","","10/01/2012","09/30/2013"
"Biopsies of musculoskeletal system and connective tissue w MCC","2657","","10/01/2012","09/30/2013"
"Biopsies of musculoskeletal system and connective tissue w CC","7221","","10/01/2012","09/30/2013"
"Other musculoskelet sys and conn tiss O.R. proc w MCC","3871","","10/01/2012","09/30/2013"
"Kidney and ureter procedures for neoplasm w/o CC/MCC","7152","","10/01/2012","09/30/2013"
"Kidney and ureter procedures for neoplasm w MCC","3518","","10/01/2012","09/30/2013"
"Kidney and ureter procedures for neoplasm w CC","8647","","10/01/2012","09/30/2013"
"Kidney and ureter procedures for non-neoplasm w MCC","4246","","10/01/2012","09/30/2013"
"Transurethral procedures w MCC","3595","","10/01/2012","09/30/2013"
"Other kidney and urinary tract procedures w/o CC/MCC","1544","","10/01/2012","09/30/2013"
"Other kidney and urinary tract procedures w MCC","10824","","10/01/2012","09/30/2013"
"Other kidney and urinary tract procedures w CC","7955","","10/01/2012","09/30/2013"
"Transurethral prostatectomy w/o CC/MCC","8806","","10/01/2012","09/30/2013"
"Transurethral prostatectomy w CC/MCC","6361","","10/01/2012","09/30/2013"
"Female reproductive system reconstructive procedures","7861","","10/01/2012","09/30/2013"
"Uterine and adnexa proc for non-malignancy w/o CC/MCC","19035","","10/01/2012","09/30/2013"
