Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","Hours of physical-restraint use","0.00","0.00","1549","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","112","","0.00","0.00","1437","","Hours of seclusion","0.17","6.42","1549","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","112","","0.19","6.42","1437","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","0.00","0","62","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00","0","61","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","0.00","0","62","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00","0","61","","10/01/2012","03/31/2013"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","Hours of physical-restraint use","0.00","0.07","2057","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.07","561","","0.00","0.00","1496","","Hours of seclusion","0.09","4.20","2057","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.04","0.52","561","","0.10","3.68","1496","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","97.58","121","124","","Not Available","0","0","7","Not Available","0","0","7","95.00","38","40","","98.81","83","84","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","0.00","0","84","","10/01/2012","03/31/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","Hours of physical-restraint use","0.00","0.00","60","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","60","","Not Available","0.00","0","7","Hours of seclusion","0.00","0.00","60","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","60","","Not Available","0.00","0","7","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","100.00","88","88","","Not Available","0","0","7","Not Available","0","0","7","100.00","88","88","","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","88","88","","Not Available","0","0","7","Not Available","0","0","7","100.00","88","88","","Not Available","0","0","7","10/01/2012","03/31/2013"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","JEFFERSON","Hours of physical-restraint use","0.03","1.25","1916","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.14","1.25","366","","0.00","0.00","1550","","Hours of seclusion","0.20","9.17","1916","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.73","6.42","366","","0.07","2.75","1550","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","88.64","117","132","","Not Available","0","0","7","Not Available","0","0","7","88.64","39","44","","88.64","78","88","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","78.03","103","132","","Not Available","0","0","7","Not Available","0","0","7","75.00","33","44","","79.55","70","88","","10/01/2012","03/31/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","SHELBY","Hours of physical-restraint use","0.00","0.00","1407","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","790","","0.00","0.00","617","","Hours of seclusion","0.00","0.00","1407","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","790","","0.00","0.00","617","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","0.00","0","20","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","0.00","0","20","","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","DALE","Hours of physical-restraint use","0.00","0.00","1553","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","800","","0.00","0.00","753","","Hours of seclusion","0.00","0.00","1553","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","800","","0.00","0.00","753","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","83.33","130","156","","Not Available","0","0","7","Not Available","0","0","7","76.67","46","60","","87.50","84","96","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.77","126","156","","Not Available","0","0","7","Not Available","0","0","7","78.33","47","60","","82.29","79","96","","10/01/2012","03/31/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","MONTGOMERY","Hours of physical-restraint use","0.03","3.15","4449","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.04","3.15","3656","","0.00","0.00","793","","Hours of seclusion","0.00","0.52","4449","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.01","0.52","3656","","0.00","0.00","793","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","99.27","136","137","","Not Available","0","0","7","Not Available","0","0","7","100.00","107","107","","96.67","29","30","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","59.85","82","137","","Not Available","0","0","7","Not Available","0","0","7","63.55","68","107","","46.67","14","30","","10/01/2012","03/31/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","Hours of physical-restraint use","1.75","661.31","15732","","0.00","0.00","96","","8.70","563.19","2697","","0.35","96.15","11452","","0.06","1.97","1487","","Hours of seclusion","0.28","103.91","15732","","0.33","0.75","96","","0.46","30.03","2697","","0.27","73.13","11452","","0.00","0.00","1487","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","26.56","98","369","","Not Available","Not Available","Not Available","1","26.14","23","88","","22.51","43","191","","35.90","28","78","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","0.00","0","369","","0.00","0","12","","0.00","0","88","","0.00","0","191","","0.00","0","78","","10/01/2012","03/31/2013"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","ELMORE","Hours of physical-restraint use","0.00","0.00","1050","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","67","","0.00","0.00","983","","Hours of seclusion","0.00","0.00","1050","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","67","","0.00","0.00","983","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","49.28","34","69","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","47.62","30","63","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.75","64","69","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","92.06","58","63","","10/01/2012","03/31/2013"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","MADISON","Hours of physical-restraint use","0.00","0.00","1219","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","529","","0.00","0.00","690","","Hours of seclusion","0.00","0.00","1219","","Not Available","0.00","0","7","Not Available","0.00","0","7","0.00","0.00","529","","0.00","0.00","690","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Post-discharge continuing care plan created","53.61","104","194","","Not Available","0","0","7","Not Available","0","0","7","66.36","73","110","","36.90","31","84","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","7.22","14","194","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","10/01/2012","03/31/2013"
