"Measure Name","Measure ID","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Statin Prescribed at Discharge","AMI-10","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Aspirin Prescribed at Discharge","AMI-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival","AMI-7a","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI-8a","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Relievers for Inpatient Asthma","CAC-1","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Systemic Corticosteroids for Inpatient Asthma","CAC-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver","CAC-3","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Complication Rate Following Elective Primary  Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","COMP-HIP-KNEE","3Q2009","07/01/2009","1Q2012","03/31/2012"
"Median Time from ED Arrival to ED Departure for Admitted ED Patients","ED-1b","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Admit Decision Time to ED Departure Time for Admitted Patients","ED-2b","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Central Line Associated Bloodstream Infection","HAI-1","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Catheter Associated Urinary Tract Infections","HAI-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"SSI - Colon Surgery","HAI-3","4Q2012","10/01/2012","3Q2013","09/30/2013"
"SSI - Abdominal Hysterectomy","HAI-4","4Q2012","10/01/2012","3Q2013","09/30/2013"
"MRSA Bacteremia","HAI-5","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Clostridium Difficile (C.Diff)","HAI-6","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Hours of physical-restraint use","HBIPS-2","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Hours of seclusion","HBIPS-3","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Patients discharged on multiple antipsychotic medications","HBIPS-4","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Patients discharged on multiple antipsychotic medications with appropriate justification","HBIPS-5","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Post-discharge continuing care plan created","HBIPS-6","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","HBIPS-7","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Patient satisfaction survey results","HCAHPS","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Discharge Instructions","HF-1","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Evaluation of LVS Function","HF-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"ACEI or ARB for LVSD","HF-3","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Pneumococcal Immunization","IMM-1a","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Influenza Immunization","IMM-2","4Q2012","10/01/2012","1Q2013","03/31/2013"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT-30-AMI","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Heart Failure (HF) 30-Day Mortality Rate","MORT-30-HF","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Pneumonia (PN) 30-Day Mortality Rate","MORT-30-PN","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary)","MSPB-1","1Q2013","01/01/2013","4Q2013","12/31/2013"
"MV","MV","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Median Time to Fibrinolysis","OP-1","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Abdomen CT - Use of Contrast Material","OP-10","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Thorax CT - Use of Contrast Material","OP-11","3Q2012","07/01/2012","2Q2013","06/30/2013"
"The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC Certified EHR System as Discrete Searchable Data","OP-12","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery","OP-13","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT)","OP-14","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Tracking Clinical Results Between Visits","OP-17","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Median Time from ED Arrival to ED Departure for Discharged ED Patients","OP-18b","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Median Time from ED Arrival to Provider Contact for ED patients","OP-20","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Median Time to Pain Management for Long Bone Fracture","OP-21","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Left Without Being Seen","OP-22","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival","OP-23","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Safe Surgery Checklist Use","OP-25","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Hospital Outpatient Volume Data on Selected Outpatient Surgical Procedures","OP-26","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate","OP-3b","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Aspirin at Arrival","OP-4","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Median Time to ECG","OP-5","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Timing of Antibiotic Prophylaxis","OP-6","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Prophylactic Antibiotic Selection for Surgical Patients","OP-7","4Q2012","10/01/2012","3Q2013","09/30/2013"
"MRI Lumbar Spine for Low Back Pain","OP-8","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Mammography Follow-up Rates","OP-9","3Q2012","07/01/2012","2Q2013","06/30/2013"
"Elective Delivery","PC-01","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital","PN-3b","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","PN-6","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT)","PSI-12","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Postoperative wound dehiscence ","PSI-14","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Accidental puncture or laceration  ","PSI-15","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Death among surgical inpatients with serious treatable complications","PSI-4","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Iatrogenic pneumothorax, adult","PSI-6","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Complication/patient safety for selected indicators (composite)","PSI-90","3Q2010","07/01/2010","2Q2012","06/30/2012"
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM-30-AMI","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Acute Myocardial Infarction (AMI) 30-Day Readmissions","READM-30-AMI-HRRP","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Heart  Failure (HF) 30-Day Readmission Rate","READM-30-HF","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Heart Failure (HF) 30-Day Readmissions","READM-30-HF-HRRP","3Q2009","07/01/2009","2Q2012","06/30/2012"
"30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","READM-30-HIP-KNEE","3Q2009","07/01/2009","2Q2012","06/30/2012"
"30-Day Hospital-Wide All-Cause Unplanned Readmission Rate","READM-30-HOSPWIDE","3Q2011","07/01/2011","2Q2012","06/30/2012"
"Pneumonia (PN) 30-Day Readmission Rate","READM-30-PN","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Pneumonia (PN) 30-Day Readmissions","READM-30-PN-HRRP","3Q2009","07/01/2009","2Q2012","06/30/2012"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","SCIP-Card-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision","SCIP-Inf-1","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Surgery Patients with Perioperative Temperature Management","SCIP-Inf-10","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Prophylactic Antibiotic Selection for Surgical Patients","SCIP-Inf-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","SCIP-Inf-3","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose","SCIP-Inf-4","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","SCIP-Inf-9","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","SCIP-VTE-2","4Q2012","10/01/2012","3Q2013","09/30/2013"
"Participation in a Systematic Database for Cardiac Surgery","SM-1","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Participation in a Systematic Clinical Database Registry for Stroke Care","SM-2","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Participation in a Systematic Clinical Database Registry for Nursing Sensitive Care","SM-3","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Participation in a Systematic Clinical Database Registry for General Surgery","SM-4","1Q2012","01/01/2012","4Q2012","12/31/2012"
"Venous Thromboembolism (VTE) Prophylaxis","STK-1","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Assessed for Rehabilitation","STK-10","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Discharged on Antithrombotic Therapy","STK-2","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Anticoagulation Therapy for Atrial Fibrillation/Flutter","STK-3","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Thrombolytic Therapy","STK-4","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Antithrombotic Therapy By End of Hospital Day 2","STK-5","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Discharged on Statin Medication","STK-6","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Stroke Education","STK-8","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Venous Thromboembolism Prophylaxis","VTE-1","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Intensive Care Unit Venous Thromboembolism Prophylaxis","VTE-2","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Venous Thromboembolism Patients with Anticoagulation Overlap Therapy","VTE-3","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Venous Thromboembolism Patients Receiving Unfractionated Heparin with Dosages/Platelet Count Monitoring by Protocol or Nomogram","VTE-4","1Q2013","01/01/2013","3Q2013","09/30/2013"
"Venous Thromboembolism Warfarin Therapy Discharge Instructions","VTE-5","1Q2013","01/01/2013","3Q2013","09/30/2013"
