"State","Diagnosis Related Group","Denominator","Footnote","Measure Start Date","Measure End Date"
"AK","Acute myocardial infarction, discharged alive w/o CC/MCC","46","","10/01/2012","09/30/2013"
"AL","Acute myocardial infarction, discharged alive w/o CC/MCC","582","","10/01/2012","09/30/2013"
"AR","Acute myocardial infarction, discharged alive w/o CC/MCC","354","","10/01/2012","09/30/2013"
"AS","Acute myocardial infarction, discharged alive w/o CC/MCC","Not Available","1 - The number of cases/patients is too few to report.","10/01/2012","09/30/2013"
"AZ","Acute myocardial infarction, discharged alive w/o CC/MCC","405","","10/01/2012","09/30/2013"
"CA","Acute myocardial infarction, discharged alive w/o CC/MCC","1886","","10/01/2012","09/30/2013"
"CO","Acute myocardial infarction, discharged alive w/o CC/MCC","203","","10/01/2012","09/30/2013"
"CT","Acute myocardial infarction, discharged alive w/o CC/MCC","357","","10/01/2012","09/30/2013"
"DC","Acute myocardial infarction, discharged alive w/o CC/MCC","123","","10/01/2012","09/30/2013"
"DE","Acute myocardial infarction, discharged alive w/o CC/MCC","98","","10/01/2012","09/30/2013"
"FL","Acute myocardial infarction, discharged alive w/o CC/MCC","2022","","10/01/2012","09/30/2013"
"GA","Acute myocardial infarction, discharged alive w/o CC/MCC","712","","10/01/2012","09/30/2013"
"GU","Acute myocardial infarction, discharged alive w/o CC/MCC","27","","10/01/2012","09/30/2013"
"HI","Acute myocardial infarction, discharged alive w/o CC/MCC","109","","10/01/2012","09/30/2013"
"IA","Acute myocardial infarction, discharged alive w/o CC/MCC","319","","10/01/2012","09/30/2013"
"ID","Acute myocardial infarction, discharged alive w/o CC/MCC","95","","10/01/2012","09/30/2013"
"IL","Acute myocardial infarction, discharged alive w/o CC/MCC","1062","","10/01/2012","09/30/2013"
"IN","Acute myocardial infarction, discharged alive w/o CC/MCC","711","","10/01/2012","09/30/2013"
"KS","Acute myocardial infarction, discharged alive w/o CC/MCC","232","","10/01/2012","09/30/2013"
"KY","Acute myocardial infarction, discharged alive w/o CC/MCC","661","","10/01/2012","09/30/2013"
"LA","Acute myocardial infarction, discharged alive w/o CC/MCC","432","","10/01/2012","09/30/2013"
"MA","Acute myocardial infarction, discharged alive w/o CC/MCC","822","","10/01/2012","09/30/2013"
"MD","Acute myocardial infarction, discharged alive w/o CC/MCC","768","","10/01/2012","09/30/2013"
"ME","Acute myocardial infarction, discharged alive w/o CC/MCC","354","","10/01/2012","09/30/2013"
"MI","Acute myocardial infarction, discharged alive w/o CC/MCC","1152","","10/01/2012","09/30/2013"
