Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"SIERRA VISTA REGIONAL HEALTH CENTER","030043","AZ","READM-30-HF-HRRP","231","","1.0872","25.2","23.2","63","07/01/2009","06/30/2012"
"SIERRA VISTA REGIONAL HEALTH CENTER","030043","AZ","READM-30-PN-HRRP","251","","1.0365","18.3","17.7","48","07/01/2009","06/30/2012"
"KINGMAN REGIONAL MEDICAL CENTER","030055","AZ","READM-30-AMI-HRRP","163","","0.8629","14.6","16.9","17","07/01/2009","06/30/2012"
"KINGMAN REGIONAL MEDICAL CENTER","030055","AZ","READM-30-HF-HRRP","362","","0.9597","22.2","23.1","78","07/01/2009","06/30/2012"
"KINGMAN REGIONAL MEDICAL CENTER","030055","AZ","READM-30-PN-HRRP","460","","1.0187","18.2","17.9","85","07/01/2009","06/30/2012"
"BANNER BOSWELL MEDICAL CENTER","030061","AZ","READM-30-AMI-HRRP","513","","1.0448","18.1","17.3","95","07/01/2009","06/30/2012"
"BANNER BOSWELL MEDICAL CENTER","030061","AZ","READM-30-HF-HRRP","825","","0.8580","19.2","22.4","150","07/01/2009","06/30/2012"
"BANNER BOSWELL MEDICAL CENTER","030061","AZ","READM-30-PN-HRRP","620","","0.8974","15.2","16.9","88","07/01/2009","06/30/2012"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","030062","AZ","READM-30-AMI-HRRP","47","","0.9874","16.1","16.3","Too Few To Report","07/01/2009","06/30/2012"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","030062","AZ","READM-30-HF-HRRP","84","","0.9150","18.6","20.4","11","07/01/2009","06/30/2012"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","030062","AZ","READM-30-PN-HRRP","157","","0.9319","14.5","15.6","19","07/01/2009","06/30/2012"
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","030064","AZ","READM-30-AMI-HRRP","245","","1.1124","19.6","17.6","53","07/01/2009","06/30/2012"
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","030064","AZ","READM-30-HF-HRRP","323","","1.0565","24.1","22.8","81","07/01/2009","06/30/2012"
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","030064","AZ","READM-30-PN-HRRP","326","","0.9803","16.9","17.2","54","07/01/2009","06/30/2012"
"BANNER DESERT MEDICAL CENTER","030065","AZ","READM-30-AMI-HRRP","188","","1.0519","16.3","15.5","33","07/01/2009","06/30/2012"
