"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","220","","10/01/2012","09/30/2013"
"AL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","61","","10/01/2012","09/30/2013"
"AR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","10/01/2012","09/30/2013"
"AS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","","10/01/2012","09/30/2013"
"AZ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","48","","10/01/2012","09/30/2013"
"CA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","62","","10/01/2012","09/30/2013"
"CO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","74","","10/01/2012","09/30/2013"
"CT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","61","","10/01/2012","09/30/2013"
"DC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","79","","10/01/2012","09/30/2013"
"DE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","120","","10/01/2012","09/30/2013"
"FL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","10/01/2012","09/30/2013"
"GA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","73","","10/01/2012","09/30/2013"
"GU","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","","10/01/2012","09/30/2013"
"HI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","205","","10/01/2012","09/30/2013"
"IA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","58","","10/01/2012","09/30/2013"
"ID","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","62","","10/01/2012","09/30/2013"
"IL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","63","","10/01/2012","09/30/2013"
"IN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","46","","10/01/2012","09/30/2013"
"KS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","10/01/2012","09/30/2013"
"KY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","61","","10/01/2012","09/30/2013"
"LA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","94","","10/01/2012","09/30/2013"
"MA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","55","","10/01/2012","09/30/2013"
"MD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","32","","10/01/2012","09/30/2013"
"ME","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","49","","10/01/2012","09/30/2013"
"MI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","10/01/2012","09/30/2013"
"MN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","10/01/2012","09/30/2013"
"MO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","10/01/2012","09/30/2013"
"MP","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","","10/01/2012","09/30/2013"
"MS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","77","","10/01/2012","09/30/2013"
"MT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","78","","10/01/2012","09/30/2013"
"NC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","45","","10/01/2012","09/30/2013"
"ND","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","114","","10/01/2012","09/30/2013"
"NE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","76","","10/01/2012","09/30/2013"
"NH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","52","","10/01/2012","09/30/2013"
"NJ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","74","","10/01/2012","09/30/2013"
"NM","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","99","","10/01/2012","09/30/2013"
"NV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","66","","10/01/2012","09/30/2013"
"NY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","78","","10/01/2012","09/30/2013"
"OH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","58","","10/01/2012","09/30/2013"
"OK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","77","","10/01/2012","09/30/2013"
"OR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","52","","10/01/2012","09/30/2013"
